Epi Week	Hospitalisations
2020.22	72
2020.23	90
2020.24	123
2020.25	123
2020.26	216
2020.27	256
2020.28	340
2020.29	331
2020.30	319
2020.31	274
2020.32	207
2020.33	127
2020.34	95
2020.35	66
2020.36	56
2020.37	24
2020.38	14
2020.39	11
2020.40	27
2020.41	35
2020.42	28
2020.43	28
2020.44	28
2020.45	42
2020.46	56
2020.47	61
2020.48	69
2020.49	66
2020.50	153
2020.51	157
2020.52	258
2021.01	270
2021.02	328
2021.03	253
2021.04	217
2021.05	98
2021.06	107
2021.07	43
2021.08	43
2021.09	32
2021.10	24
2021.11	18
2021.12	26
2021.13	28
2021.14	18
2021.15	20
2021.16	20
2021.17	31
2021.18	28
2021.19	32
2021.20	29
